carrying_capacity,start_date,end_date
CC_1,01-01-2019,24-01-2019
CC_2,25-01-2019,25-04-2019
CC_3,26-04-2019,25-07-2019
CC_4,26-07-2019,24-10-2019
CC_1,25-10-2019,24-01-2020
CC_2,25-01-2020,25-04-2020
CC_3,26-04-2020,25-07-2020
CC_4,26-07-2020,24-10-2020
CC_1,25-10-2020,24-01-2021
CC_2,25-01-2021,25-04-2021
CC_3,26-04-2021,25-07-2021
CC_4,26-07-2021,24-10-2021
CC_1,25-10-2021,24-01-2022
CC_2,25-01-2022,25-04-2022
CC_3,26-04-2022,25-07-2022
CC_4,26-07-2022,24-10-2022
CC_1,25-10-2022,24-01-2023
CC_2,25-01-2023,25-04-2023
CC_3,26-04-2023,25-07-2023
CC_4,26-07-2023,24-10-2023
CC_1,25-10-2023,31-12-2023
