year,month_num,Ae_aegypti,monthly_row_count
2019,1,968,712
2019,2,1192,577
2019,3,1849,721
2019,4,3129,741
2019,5,4120,752
2019,6,5824,708
2019,7,6374,799
2019,8,4698,793
2019,9,2601,707
2019,10,1933,885
2019,11,1418,577
2019,12,1199,740
2020,1,1538,723
2020,2,1504,654
2020,3,1736,747
2020,4,2230,729
2020,5,2990,702
2020,6,7437,809
2020,7,5865,802
2020,8,3195,720
2020,9,3183,810
2020,10,2952,959
2020,11,1742,845
2020,12,1594,1205
2021,1,988,967
2021,2,1811,1221
2021,3,4315,1377
2021,4,3895,1370
2021,5,7426,1223
2021,6,8263,1369
2021,7,14210,1385
2021,8,7736,1374
2021,9,5214,1384
2021,10,4027,1222
2021,11,3214,1221
2021,12,2515,1357
2022,1,2219,1224
2022,2,1921,1196
2022,3,3805,1530
2022,4,3894,1222
2022,5,4854,1220
2022,6,12347,1503
2022,7,7160,1244
2022,8,4604,1372
2022,9,2240,1376
2022,10,5548,1222
2022,11,2682,1373
2022,12,2268,1376
2023,1,1491,1316
2023,2,2134,1279
2023,3,2955,1381
2023,4,4758,1227
2023,5,7269,1371
2023,6,10811,1381
2023,7,7657,1225
2023,8,5893,1528
2023,9,4839,1225
2023,10,5896,1341
2023,11,2923,1348
2023,12,260,96
